"","X","Experiment","Treatment","Replicate","DPI","Humidity","Population","subject"
"76",76,"2","Xa of XpPcXa",1,0,"High",1.096910013,"Xa of XpPcXa.1.2"
"77",77,"2","Xa of XpPcXa",2,0,"High",2.449092531,"Xa of XpPcXa.2.2"
"78",78,"2","Xa of XpPcXa",3,0,"High",2.511883361,"Xa of XpPcXa.3.2"
"79",79,"2","Xa of XpPcXa",1,3,"High",3.68518172,"Xa of XpPcXa.1.2"
"80",80,"2","Xa of XpPcXa",2,3,"High",3.608793374,"Xa of XpPcXa.2.2"
"81",81,"2","Xa of XpPcXa",3,3,"High",3.536242707,"Xa of XpPcXa.3.2"
"82",82,"2","Xa of XpPcXa",1,6,"High",4.439332694,"Xa of XpPcXa.1.2"
"83",83,"2","Xa of XpPcXa",2,6,"High",4.449092531,"Xa of XpPcXa.2.2"
"84",84,"2","Xa of XpPcXa",3,6,"High",5.819503063,"Xa of XpPcXa.3.2"
"85",85,"2","Xa of XpPcXa",1,9,"High",5.360767906,"Xa of XpPcXa.1.2"
"86",86,"2","Xa of XpPcXa",2,9,"High",5.311919338,"Xa of XpPcXa.2.2"
"87",87,"2","Xa of XpPcXa",3,9,"High",5.341882561,"Xa of XpPcXa.3.2"
"88",88,"2","Xa of XpPcXa",1,14,"High",4.566732029,"Xa of XpPcXa.1.2"
"89",89,"2","Xa of XpPcXa",2,14,"High",4.051152522,"Xa of XpPcXa.2.2"
"90",90,"2","Xa of XpPcXa",3,14,"High",4.434369274,"Xa of XpPcXa.3.2"
