"","Experiment","Treatment","Replicate","DPI","Humidity","Population","subject"
"79","2","Xa of XpPcXa",1,3,"Low",3.397940009,"Xa of XpPcXa.1.2"
"80","2","Xa of XpPcXa",2,3,"Low",3.193820026,"Xa of XpPcXa.2.2"
"81","2","Xa of XpPcXa",3,3,"Low",4.051152522,"Xa of XpPcXa.3.2"
"82","2","Xa of XpPcXa",1,6,"Low",3.361137361,"Xa of XpPcXa.1.2"
"83","2","Xa of XpPcXa",2,6,"Low",5.087364695,"Xa of XpPcXa.2.2"
"84","2","Xa of XpPcXa",3,6,"Low",4.638092369,"Xa of XpPcXa.3.2"
"85","2","Xa of XpPcXa",1,9,"Low",4.770717934,"Xa of XpPcXa.1.2"
"86","2","Xa of XpPcXa",2,9,"Low",5.290730039,"Xa of XpPcXa.2.2"
"87","2","Xa of XpPcXa",3,9,"Low",2.971971276,"Xa of XpPcXa.3.2"
"88","2","Xa of XpPcXa",1,14,"Low",2.235212711,"Xa of XpPcXa.1.2"
"89","2","Xa of XpPcXa",2,14,"Low",2.926213786,"Xa of XpPcXa.2.2"
"90","2","Xa of XpPcXa",3,14,"Low",3.085914629,"Xa of XpPcXa.3.2"
