"","Experiment","Treatment","Replicate","DPI","Humidity","Population","subject"
"68","2","Xp ",2,6,"Low",6.239143005,"Xp .2.2"
"69","2","Xp ",3,6,"Low",6.426816136,"Xp .3.2"
"70","2","Xp ",1,9,"Low",6.138302698,"Xp .1.2"
"71","2","Xp ",2,9,"Low",6.449092531,"Xp .2.2"
"72","2","Xp ",3,9,"Low",6.481621756,"Xp .3.2"
"73","2","Xp ",1,14,"Low",6.118099312,"Xp .1.2"
"74","2","Xp ",2,14,"Low",7.884074798,"Xp .2.2"
"75","2","Xp ",3,14,"Low",7.491964333,"Xp .3.2"
"76","2","Xp of XpPc",1,0,"Low",1.193820026,"Xp of XpPc.1.2"
"77","2","Xp of XpPc",2,0,"Low",3.045078375,"Xp of XpPc.2.2"
"78","2","Xp of XpPc",3,0,"Low",2.449092531,"Xp of XpPc.3.2"
"79","2","Xp of XpPc",1,3,"Low",3.89279003,"Xp of XpPc.1.2"
"80","2","Xp of XpPc",2,3,"Low",4.449092531,"Xp of XpPc.2.2"
"81","2","Xp of XpPc",3,3,"Low",3.670941281,"Xp of XpPc.3.2"
"82","2","Xp of XpPc",1,6,"Low",5.413928114,"Xp of XpPc.1.2"
"83","2","Xp of XpPc",2,6,"Low",5.453891414,"Xp of XpPc.2.2"
"84","2","Xp of XpPc",3,6,"Low",5.5382123,"Xp of XpPc.3.2"
"85","2","Xp of XpPc",1,9,"Low",3.971971276,"Xp of XpPc.1.2"
"86","2","Xp of XpPc",2,9,"Low",4.62518379,"Xp of XpPc.2.2"
"87","2","Xp of XpPc",3,9,"Low",5.262005888,"Xp of XpPc.3.2"
"88","2","Xp of XpPc",1,14,"Low",5.596940547,"Xp of XpPc.1.2"
"89","2","Xp of XpPc",2,14,"Low",5.60711979,"Xp of XpPc.2.2"
"90","2","Xp of XpPc",3,14,"Low",5.620331287,"Xp of XpPc.3.2"
"91","2","Xp of XpXa",1,0,"Low",2.16546799,"Xp of XpXa.1.2"
"92","2","Xp of XpXa",2,0,"Low",2.97356844,"Xp of XpXa.2.2"
"93","2","Xp of XpXa",3,0,"Low",3.10986436,"Xp of XpXa.3.2"
"94","2","Xp of XpXa",1,3,"Low",3.19382003,"Xp of XpXa.1.2"
"95","2","Xp of XpXa",2,3,"Low",3.97197128,"Xp of XpXa.2.2"
"96","2","Xp of XpXa",3,3,"Low",3.49485002,"Xp of XpXa.3.2"
"97","2","Xp of XpXa",1,6,"Low",4.273001272,"Xp of XpXa.1.2"
"98","2","Xp of XpXa",2,6,"Low",4.148062535,"Xp of XpXa.2.2"
"99","2","Xp of XpXa",3,6,"Low",4.806603883,"Xp of XpXa.3.2"
"100","2","Xp of XpXa",1,9,"Low",4.926213786,"Xp of XpXa.1.2"
"101","2","Xp of XpXa",2,9,"Low",5.026328939,"Xp of XpXa.2.2"
"102","2","Xp of XpXa",3,9,"Low",5.486076097,"Xp of XpXa.3.2"
"103","2","Xp of XpXa",1,14,"Low",6.605907686,"Xp of XpXa.1.2"
"104","2","Xp of XpXa",2,14,"Low",6.204119983,"Xp of XpXa.2.2"
"105","2","Xp of XpXa",3,14,"Low",7.429032737,"Xp of XpXa.3.2"
"106","2","Xp of XpPcXa",1,0,"Low",1.494850022,"Xp of XpPcXa.1.2"
"107","2","Xp of XpPcXa",2,0,"Low",2.73788807,"Xp of XpPcXa.2.2"
"108","2","Xp of XpPcXa",3,0,"Low",2.516039321,"Xp of XpPcXa.3.2"
"109","2","Xp of XpPcXa",1,3,"Low",4.62518379,"Xp of XpPcXa.1.2"
"110","2","Xp of XpPcXa",2,3,"Low",5.080310751,"Xp of XpPcXa.2.2"
"111","2","Xp of XpPcXa",3,3,"Low",5.258278015,"Xp of XpPcXa.3.2"
"112","2","Xp of XpPcXa",1,6,"Low",5.1981414,"Xp of XpPcXa.1.2"
"113","2","Xp of XpPcXa",2,6,"Low",6.739118948,"Xp of XpPcXa.2.2"
"114","2","Xp of XpPcXa",3,6,"Low",6.491964333,"Xp of XpPcXa.3.2"
"115","2","Xp of XpPcXa",1,9,"Low",5.307763378,"Xp of XpPcXa.1.2"
"116","2","Xp of XpPcXa",2,9,"Low",6.792994329,"Xp of XpPcXa.2.2"
"117","2","Xp of XpPcXa",3,9,"Low",5.640978057,"Xp of XpPcXa.3.2"
"118","2","Xp of XpPcXa",1,14,"Low",7.165791302,"Xp of XpPcXa.1.2"
"119","2","Xp of XpPcXa",2,14,"Low",7.444544903,"Xp of XpPcXa.2.2"
"120","2","Xp of XpPcXa",3,14,"Low",6.807234768,"Xp of XpPcXa.3.2"
"121","3","Xp ",1,0,"Low",2.544068044,"Xp .1.3"
"122","3","Xp ",2,0,"Low",2.176091259,"Xp .2.3"
"123","3","Xp ",3,0,"Low",3.136324132,"Xp .3.3"
"124","3","Xp ",1,3,"Low",5.494850022,"Xp .1.3"
"125","3","Xp ",2,3,"Low",4.494850022,"Xp .2.3"
"126","3","Xp ",3,3,"Low",4.193820026,"Xp .3.3"
"127","3","Xp ",1,6,"Low",6.243038049,"Xp .1.3"
"128","3","Xp ",2,6,"Low",6.704365036,"Xp .2.3"
"129","3","Xp ",3,6,"Low",5.339948062,"Xp .3.3"
"130","3","Xp ",1,9,"Low",6.561175947,"Xp .1.3"
"131","3","Xp ",2,9,"Low",5.942008053,"Xp .2.3"
"132","3","Xp ",3,9,"Low",7.627626935,"Xp .3.3"
"133","3","Xp ",1,14,"Low",5.536242707,"Xp .1.3"
"134","3","Xp ",2,14,"Low",6.40600763,"Xp .2.3"
"135","3","Xp ",3,14,"Low",6.367006294,"Xp .3.3"
"136","3","Xp of XpPc",1,0,"Low",2.70969387,"Xp of XpPc.1.3"
"137","3","Xp of XpPc",2,0,"Low",2.647138366,"Xp of XpPc.2.3"
"138","3","Xp of XpPc",3,0,"Low",3.356981401,"Xp of XpPc.3.3"
"139","3","Xp of XpPc",1,3,"Low",3.193820026,"Xp of XpPc.1.3"
"140","3","Xp of XpPc",2,3,"Low",3.670941281,"Xp of XpPc.2.3"
"141","3","Xp of XpPc",3,3,"Low",3.494850022,"Xp of XpPc.3.3"
"142","3","Xp of XpPc",1,6,"Low",4.84703254,"Xp of XpPc.1.3"
"143","3","Xp of XpPc",2,6,"Low",5.138302698,"Xp of XpPc.2.3"
"144","3","Xp of XpPc",3,6,"Low",4.971971276,"Xp of XpPc.3.3"
"145","3","Xp of XpPc",1,9,"Low",5.185046102,"Xp of XpPc.1.3"
"146","3","Xp of XpPc",2,9,"Low",4.68518172,"Xp of XpPc.2.3"
"147","3","Xp of XpPc",3,9,"Low",5.307763378,"Xp of XpPc.3.3"
"148","3","Xp of XpPc",1,14,"Low",4.773603623,"Xp of XpPc.1.3"
"149","3","Xp of XpPc",2,14,"Low",5.128318477,"Xp of XpPc.2.3"
"150","3","Xp of XpPc",3,14,"Low",5.152861418,"Xp of XpPc.3.3"
"151","3","Xp of XpXa",1,0,"Low",3.384711743,"Xp of XpXa.1.3"
"152","3","Xp of XpXa",2,0,"Low",3.389166084,"Xp of XpXa.2.3"
"153","3","Xp of XpXa",3,0,"Low",1.750122527,"Xp of XpXa.3.3"
"154","3","Xp of XpXa",1,3,"Low",3.193820026,"Xp of XpXa.1.3"
"155","3","Xp of XpXa",2,3,"Low",3.971971276,"Xp of XpXa.2.3"
"156","3","Xp of XpXa",3,3,"Low",3.494850022,"Xp of XpXa.3.3"
"157","3","Xp of XpXa",1,6,"Low",4.273001272,"Xp of XpXa.1.3"
"158","3","Xp of XpXa",2,6,"Low",4.148062535,"Xp of XpXa.2.3"
"159","3","Xp of XpXa",3,6,"Low",4.806603883,"Xp of XpXa.3.3"
"160","3","Xp of XpXa",1,9,"Low",4.926213786,"Xp of XpXa.1.3"
"161","3","Xp of XpXa",2,9,"Low",5.026328939,"Xp of XpXa.2.3"
"162","3","Xp of XpXa",3,9,"Low",5.486076097,"Xp of XpXa.3.3"
"163","3","Xp of XpXa",1,14,"Low",5.367006294,"Xp of XpXa.1.3"
"164","3","Xp of XpXa",2,14,"Low",4.608793374,"Xp of XpXa.2.3"
"165","3","Xp of XpXa",3,14,"Low",5.320924824,"Xp of XpXa.3.3"
"166","3","Xp of XpPcXa",1,0,"Low",3.44618754,"Xp of XpPcXa.1.3"
"167","3","Xp of XpPcXa",2,0,"Low",2.477121255,"Xp of XpPcXa.2.3"
"168","3","Xp of XpPcXa",3,0,"Low",2.566732029,"Xp of XpPcXa.3.3"
"169","3","Xp of XpPcXa",1,3,"Low",3.494850022,"Xp of XpPcXa.1.3"
"170","3","Xp of XpPcXa",2,3,"Low",3.193820026,"Xp of XpPcXa.2.3"
"171","3","Xp of XpPcXa",3,3,"Low",4.307763378,"Xp of XpPcXa.3.3"
"172","3","Xp of XpPcXa",1,6,"Low",4.784884633,"Xp of XpPcXa.1.3"
"173","3","Xp of XpPcXa",2,6,"Low",5.133339279,"Xp of XpPcXa.2.3"
"174","3","Xp of XpPcXa",3,6,"Low",5.206657251,"Xp of XpPcXa.3.3"
"175","3","Xp of XpPcXa",1,9,"Low",5.731639121,"Xp of XpPcXa.1.3"
"176","3","Xp of XpPcXa",2,9,"Low",5.486076097,"Xp of XpPcXa.2.3"
"177","3","Xp of XpPcXa",3,9,"Low",5.258278015,"Xp of XpPcXa.3.3"
"178","3","Xp of XpPcXa",1,14,"Low",4.591760035,"Xp of XpPcXa.1.3"
"179","3","Xp of XpPcXa",2,14,"Low",4.369911285,"Xp of XpPcXa.2.3"
"180","3","Xp of XpPcXa",3,14,"Low",4.68518172,"Xp of XpPcXa.3.3"
