"","Experiment","Treatment","Replicate","DPI","Population","subject"
"78","2","Pc of XpPcXa",3,0,0.795880017,"Pc of XpPcXa.3.2"
"79","2","Pc of XpPcXa",1,3,3.39902439,"Pc of XpPcXa.1.2"
"80","2","Pc of XpPcXa",2,3,3.702215059,"Pc of XpPcXa.2.2"
"81","2","Pc of XpPcXa",3,3,3.67669361,"Pc of XpPcXa.3.2"
"82","2","Pc of XpPcXa",1,6,5.494850022,"Pc of XpPcXa.1.2"
"83","2","Pc of XpPcXa",2,6,5.473999883,"Pc of XpPcXa.2.2"
"84","2","Pc of XpPcXa",3,6,3.586516979,"Pc of XpPcXa.3.2"
"85","2","Pc of XpPcXa",1,9,4.837272703,"Pc of XpPcXa.1.2"
"86","2","Pc of XpPcXa",2,9,5.080310751,"Pc of XpPcXa.2.2"
"87","2","Pc of XpPcXa",3,9,4.76202175,"Pc of XpPcXa.3.2"
"88","2","Pc of XpPcXa",1,14,4.189455221,"Pc of XpPcXa.1.2"
"89","2","Pc of XpPcXa",2,14,5.778271072,"Pc of XpPcXa.2.2"
"90","2","Pc of XpPcXa",3,14,5.713813083,"Pc of XpPcXa.3.2"
