"","Experiment","Treatment","Replicate","DPI","Population","subject"
"78","2","Pc of XpPcXa",3,0,0.795880017,"Pc of XpPcXa.3.2"
"79","2","Pc of XpPcXa",1,3,3.360546082,"Pc of XpPcXa.1.2"
"80","2","Pc of XpPcXa",2,3,3.392477113,"Pc of XpPcXa.2.2"
"81","2","Pc of XpPcXa",3,3,3.680675381,"Pc of XpPcXa.3.2"
"82","2","Pc of XpPcXa",1,6,3.290034611,"Pc of XpPcXa.1.2"
"83","2","Pc of XpPcXa",2,6,3.34610837,"Pc of XpPcXa.2.2"
"84","2","Pc of XpPcXa",3,6,3.244586337,"Pc of XpPcXa.3.2"
"85","2","Pc of XpPcXa",1,9,3.84703254,"Pc of XpPcXa.1.2"
"86","2","Pc of XpPcXa",2,9,3.424268947,"Pc of XpPcXa.2.2"
"87","2","Pc of XpPcXa",3,9,4.62518379,"Pc of XpPcXa.3.2"
"88","2","Pc of XpPcXa",1,14,2.89279003,"Pc of XpPcXa.1.2"
"89","2","Pc of XpPcXa",2,14,3.397940009,"Pc of XpPcXa.2.2"
"90","2","Pc of XpPcXa",3,14,3.84703254,"Pc of XpPcXa.3.2"
